Bankleitzahl,BIC
16040000,COBADEFF168
16040000,COBADEFF163
16040000,COBADEFF166
16040000,COBADEFF162
16040000,COBADEFF167
16040000,COBADEFF164
16040000,COBADEFF165
16040000,COBADEFF158
16040000,COBADEFF169
16040000,
16040000,COBADEFF159
16040000,
16040000,
16040000,
16040000,
16040000,
16040000,
16050000,WELADED1PMB
16050101,WELADED1PRP
16050101,
16050101,
16050101,
16050101,
16050101,
16050101,
16050101,
16050101,
16050101,
16050101,
16050202,WELADED1OPR
16050202,
16050202,
16050202,
16050202,
16050202,
16050202,
16050202,
16050202,
16050202,
16050202,
16050500,LBSODEB1XXX
16060122,GENODEF1PER
16060122,
16060122,
16060122,
16060122,
16060122,
16060122,
16060122,
16061938,GENODEF1NPP
16061938,
16061938,
16061938,
16061938,
16061938,
16061938,
16061938,
16061938,
16062008,GENODEF1LUK
16062008,
16062008,
16062008,
16062008,
16062008,
16062073,GENODEF1BRB
16062073,
16062073,
16062073,
16062073,
16062073,
16080000,DRESDEFF160
16080000,
16080000,
16080000,
16080000,
16080000,
16080000,
16080000,
16080000,
16080000,
16080000,
16080000,
16080000,
16080000,
16080000,
16080000,
16080000,
16080000,
16080000,
16091994,GENODEF1RN1
16091994,
17000000,MARKDEF1170
17020086,HYVEDEMM471
17040000,COBADEFF170
17040000,COBADEFF171
17040000,COBADEFF172
17040000,COBADEFF173
17040000,COBADEFF174
17040000,
17052000,WELADED1GZE
17052000,
17052302,WELADED1UMX
17054040,WELADED1MOL
17055050,WELADED1LOS
17055050,
17055050,
17055050,
17056060,WELADED1UMP
17056060,
17056060,
17056060,
17056060,
17056060,
17056060,
17056060,
17056060,
17056060,
17062428,GENODEF1BKW
17062428,
17080000,DRESDEFF170
17080000,
17092404,GENODEF1FW1
17092404,
17092404,
17092404,
17092404,
17092404,
17092404,
17092404,
17092404,
17092404,
17092404,
17092404,
17092404,
18000000,MARKDEF1180
18020086,HYVEDEMM472
18040000,COBADEFF180
18040000,COBADEFF181
18040000,COBADEFF183
18040000,COBADEFF182
18040000,
18040000,
18040000,
18040000,
18040000,
18050000,WELADED1CBN
18050000,
18050000,
18050000,
18051000,WELADED1EES
18055000,WELADED1OSL
18055000,
18055000,
18055000,
18055000,
18055000,
18055000,
18055000,
18055000,
18055000,
18055000,
18055000,
18055000,
18062678,GENODEF1FWA
18062678,
18062678,
18062678,
18062758,GENODEF1FOR
18080000,DRESDEFF180
18080000,
18080000,
18080000,
18080000,
18080000,
18092684,GENODEF1LN1
18092684,
18092684,
18092744,GENODEF1SPM
18092744,
18092744,
18092744,
20000000,MARKDEF1200
20010020,PBNKDEFFXXX
20010111,ESSEDE5F200
20010111,ESSEDE5F201
20010424,AARBDE5W200
20020200,ESSEDEFFHAM
20020500,JYBADEHHXXX
20020900,SIBSDEHHXXX
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
20030000,HYVEDEMM300
